CYTEC ANTOFAGASTA;#008000;-23.616662979126 -70.390815734863|-23.617004394531 -70.389907836914|-23.616003036499 -70.389701843262|-23.615802764893 -70.39079284668|-23.616662979126 -70.390815734863
ORAFTI, Santa Clara;#008000;-36.908576965332 -72.34733581543|-36.909160614014 -72.34432220459|-36.909160614014 -72.344299316406|-36.911819458008 -72.345039367676|-36.912059783936 -72.343597412109|-36.914546966553 -72.34398651123|-36.914478302002 -72.345405578613|-36.913055419922 -72.34578704834|-36.912490844727 -72.34782409668|-36.910617828369 -72.348167419434|-36.908576965332 -72.34733581543
AES GENER S.A STGO;#008000;-33.417373657227 -70.685791015625|-33.419773101807 -70.68563079834|-33.419002532959 -70.687850952148|-33.417865753174 -70.689598083496|-33.417140960693 -70.689994812012|-33.41646194458 -70.690704345703|-33.415966033936 -70.690399169922|-33.416309356689 -70.689193725586|-33.416549682617 -70.688323974609|-33.416854858398 -70.687217712402|-33.417373657227 -70.685791015625
CRISTALERIA CHILE STGO;#008000;-33.565280914307 -70.818870544434|-33.563617706299 -70.818519592285|-33.561855316162 -70.816215515137|-33.561248779297 -70.815078735352|-33.563045501709 -70.813110351562|-33.563816070557 -70.813972473145|-33.565048217773 -70.812805175781|-33.566730499268 -70.815093994141|-33.565494537354 -70.816429138184|-33.565872192383 -70.817100524902|-33.565494537354 -70.818183898926|-33.565746307373 -70.818511962891|-33.565280914307 -70.818870544434
OCCIDENTAL CHEMICAL CHILE, Talcahuano;#008000;-36.761547088623 -73.122337341309|-36.762561798096 -73.121284484863|-36.764541625977 -73.12281036377|-36.764045715332 -73.123863220215|-36.763519287109 -73.125373840332|-36.762935638428 -73.126731872559|-36.761547088623 -73.122337341309
FOSFOQUIM Talcahuano;#008000;-36.761371612549 -73.121696472168|-36.761028289795 -73.120536804199|-36.762168884277 -73.121444702148|-36.761825561523 -73.122024536133|-36.761371612549 -73.121696472168
don tito;#800080;-30.51816368103 -71.485801696777|-30.517498016357 -71.486633300781|-30.516809463501 -71.486129760742|-30.517322540283 -71.485313415527|-30.51816368103 -71.485801696777
COPEC TABOLANGO;#ffff00;-32.928333282471 -71.425483703613|-32.929531097412 -71.425590515137|-32.929733276367 -71.426773071289|-32.928901672363 -71.427520751953|-32.928333282471 -71.425483703613
Estacionamiento restaurante “Oasis” , en Montenegro, Km 60, lado poniente.;#800080;-32.968193054199 -70.835838317871|-32.968784332275 -70.835227966309|-32.968040466309 -70.834243774414|-32.96752166748 -70.834922790527|-32.968193054199 -70.835838317871
GASCO MEJILLONES;#008000;-23.103715896606 -70.421394348145|-23.105646133423 -70.420852661133|-23.105863571167 -70.421951293945|-23.103954315186 -70.422538757324|-23.103715896606 -70.421394348145
Lipigas Copiapó;#ffff00;-27.335458755493 -70.379180908203|-27.336059570312 -70.378173828125|-27.335140228271 -70.377555847168|-27.334573745728 -70.378372192383|-27.335458755493 -70.379180908203
Descanso CASERONES;#800080;-27.344509124756 -70.692687988281|-27.34508895874 -70.691390991211|-27.345418930054 -70.691604614258|-27.344856262207 -70.69287109375|-27.344509124756 -70.692687988281
COPEC HIJUELAS;#ffff00;-32.826389312744 -71.130920410156|-32.827381134033 -71.129440307617|-32.828163146973 -71.130165100098|-32.827129364014 -71.131637573242|-32.826389312744 -71.130920410156
PARADA ?? guerra;#ff4500;-32.843326568604 -71.223411560059|-32.843650817871 -71.223564147949|-32.843769073486 -71.223159790039|-32.843456268311 -71.222999572754|-32.843326568604 -71.223411560059
DESCANSO OFICINA ROSARIO;#800080;-24.555126190186 -69.80541229248|-24.555276870728 -69.805854797363|-24.556926727295 -69.804870605469|-24.556707382202 -69.80451965332|-24.555126190186 -69.80541229248
HOSTERIA DONDE LA NELLY;#800080;-36.360317230225 -71.87801361084|-36.360939025879 -71.878974914551|-36.361526489258 -71.878425598145|-36.360877990723 -71.877365112305|-36.360317230225 -71.87801361084
ENVASE CENTRAL;#008000;-33.395576398302 -70.758338451385|-33.397905291569 -70.759475708008|-33.397388458252 -70.761039733887|-33.395149230957 -70.759963989258|-33.395576398302 -70.758338451385
COCA COLA;#008000;-33.392429351807 -70.766647338867|-33.393768310547 -70.763656616211|-33.393863677979 -70.76220703125|-33.394680023193 -70.760124206543|-33.397186279297 -70.761367797852|-33.394287109375 -70.768936157227|-33.392429351807 -70.766647338867
VITAL JUGOS;#008000;-33.39236831665 -70.766532897949|-33.390830993652 -70.764808654785|-33.392181396484 -70.762466430664|-33.394104003906 -70.759880065918|-33.394641876221 -70.760139465332|-33.393745422363 -70.762115478516|-33.393711090088 -70.763313293457|-33.39236831665 -70.766532897949
choque Cortes;#008000;-29.966802597046 -71.326683044434|-29.966876983643 -71.326370239258|-29.967191696167 -71.326438903809|-29.96706199646 -71.326835632324|-29.966802597046 -71.326683044434
CASA ADRIAN JARA;#ff4500;-33.393142700195 -70.871429443359|-33.393093109131 -70.871711730957|-33.393089294434 -70.871864318848|-33.393028259277 -70.872344970703|-33.393409729004 -70.872367858887|-33.393440246582 -70.871475219727|-33.393142700195 -70.871429443359
Descanso CAMINO A COPIAPO;#800080;-27.59718132019 -70.45174407959|-27.599281311035 -70.45240020752|-27.59871673584 -70.45336151123|-27.596918106079 -70.452827453613|-27.59718132019 -70.45174407959
ARCOR Bicentenario;#008000;-33.525508880615 -70.710205078125|-33.526790618896 -70.706275939941|-33.524181365967 -70.706069946289|-33.52290725708 -70.709671020508|-33.525508880615 -70.710205078125
Base MOLTEDO;#0000ff;-32.925052642822 -71.478134155273|-32.925327301025 -71.476959228516|-32.926704406738 -71.477348327637|-32.926578521729 -71.478355407715|-32.926074981689 -71.478309631348|-32.925712585449 -71.478248596191|-32.925052642822 -71.478134155273
Algas marinas;#008000;-32.777877807617 -71.186798095703|-32.778560638428 -71.186981201172|-32.778251647949 -71.188331604004|-32.777339935303 -71.187454223633|-32.777877807617 -71.186798095703
Romana Algas Marinas;#0000ff;-32.773258209229 -71.191093444824|-32.772956848145 -71.19002532959|-32.772243499756 -71.190368652344|-32.772563934326 -71.191390991211|-32.773258209229 -71.191093444824
CCU;#008000;-33.360321044922 -70.70849609375|-33.364486694336 -70.704986572266|-33.363887786865 -70.701972961426|-33.3620262146 -70.702507019043|-33.359176635742 -70.703964233398|-33.357975006104 -70.704650878906|-33.360321044922 -70.70849609375
QUIMICA UNIVERSAL;#008000;-33.363548278809 -70.708457946777|-33.364734649658 -70.708602905273|-33.365036010742 -70.70825958252|-33.364639282227 -70.706924438477|-33.363540649414 -70.707328796387|-33.363548278809 -70.708457946777
GASCO SAN FELIPE;#008000;-32.751358032227 -70.745407104492|-32.751171112061 -70.745048522949|-32.752147674561 -70.744110107422|-32.752590179443 -70.744979858398|-32.752170562744 -70.744926452637|-32.751358032227 -70.745407104492
BARRY CALLEBAUT;#008000;-33.788867950439 -70.742637634277|-33.788970947266 -70.741638183594|-33.786327362061 -70.741157531738|-33.786190032959 -70.742172241211|-33.788867950439 -70.742637634277
ABASTIBLE TALCAHUANO;#008000;-36.771808624268 -73.126487731934|-36.771377563477 -73.127754211426|-36.7698097229 -73.126960754395|-36.770118713379 -73.125579833984|-36.771808624268 -73.126487731934
descanso pelequen;#800080;-34.506729125977 -70.922302246094|-34.507469177246 -70.921043395996|-34.509346008301 -70.922622680664|-34.509037017822 -70.923774719238|-34.506729125977 -70.922302246094
CONTROL MAITENES - CODELCO DET;#ff4500;-34.192546844482 -70.562637329102|-34.19116973877 -70.563545227051|-34.19149017334 -70.564521789551|-34.192855834961 -70.563835144043|-34.194522857666 -70.564300537109|-34.194942474365 -70.562507629395|-34.19295501709 -70.561698913574|-34.192546844482 -70.562637329102
CODELCO DET - planta polvos;#800080;-34.082386016846 -70.470642089844|-34.083000183105 -70.470542907715|-34.082706451416 -70.469161987305|-34.082092285156 -70.469184875488|-34.082386016846 -70.470642089844
Descanso el ROMERAL;#800080;-34.768920898438 -71.043281555176|-34.768966674805 -71.042274475098|-34.771682739258 -71.042518615723|-34.772006988525 -71.043663024902|-34.768920898438 -71.043281555176
LIPIGAS Antofagasta;#008000;-23.507804870605 -70.401420593262|-23.505754470825 -70.403251647949|-23.506071090698 -70.403945922852|-23.508373260498 -70.402824401855|-23.507804870605 -70.401420593262
ALBERMARLE, La Negra;#008000;-23.761163711548 -70.312408447266|-23.760398864746 -70.312118530273|-23.759475708008 -70.312438964844|-23.753849029541 -70.309616088867|-23.754379272461 -70.307968139648|-23.761674880981 -70.31079864502|-23.761163711548 -70.312408447266
Cuesta acha Arica;#ff4500;-18.583051681519 -70.248100280762|-18.591348648071 -70.247581481934|-18.600622177124 -70.245010375977|-18.607538223267 -70.24715423584|-18.615427017212 -70.250244140625|-18.62250328064 -70.252563476562|-18.629417419434 -70.253845214844|-18.63161277771 -70.257278442383|-18.625024795532 -70.255996704102|-18.620307922363 -70.256423950195|-18.616403579712 -70.25505065918|-18.610548019409 -70.25170135498|-18.602493286133 -70.249298095703|-18.591918945312 -70.251190185547|-18.579553604126 -70.25178527832|-18.573938369751 -70.25325012207|-18.565965652466 -70.251960754395|-18.575973510742 -70.249473571777|-18.583051681519 -70.248100280762
Cuesta Camarones Iquique;#ff4500;-19.050443649292 -70.042175292969|-19.05188369751 -70.047668457031|-19.052675247192 -70.050247192383|-19.05456161499 -70.053810119629|-19.055452346802 -70.055030822754|-19.058332443237 -70.058807373047|-19.05979347229 -70.062881469727|-19.061435699463 -70.066421508789|-19.062814712524 -70.068336486816|-19.064722061157 -70.070289611816|-19.068981170654 -70.073226928711|-19.074678421021 -70.076019287109|-19.077781677246 -70.077880859375|-19.079566955566 -70.07852935791|-19.0803565979 -70.080047607422|-19.082061767578 -70.083030700684|-19.082912445068 -70.08464050293|-19.083257675171 -70.088035583496|-19.084838867188 -70.092926025391|-19.08473777771 -70.095069885254|-19.086196899414 -70.10099029541|-19.087596893311 -70.103416442871|-19.089036941528 -70.104835510254|-19.091470718384 -70.106575012207|-19.093639373779 -70.111808776855|-19.096984863281 -70.115669250488|-19.097877502441 -70.119514465332|-19.099296569824 -70.12223815918|-19.102886199951 -70.126937866211|-19.105663299561 -70.129165649414|-19.107021331787 -70.132278442383|-19.107873916626 -70.13444519043|-19.109313964844 -70.136207580566|-19.111766815186 -70.138458251953|-19.116369247437 -70.141288757324|-19.120100021362 -70.144683837891|-19.121112823486 -70.146354675293|-19.122329711914 -70.147277832031|-19.124153137207 -70.148567199707|-19.12539100647 -70.150428771973|-19.126708984375 -70.152038574219|-19.129262924194 -70.153717041016|-19.130376815796 -70.157150268555|-19.131776809692 -70.158950805664|-19.131959915161 -70.161437988281|-19.133459091187 -70.163688659668|-19.134452819824 -70.164810180664|-19.13572883606 -70.165496826172|-19.138486862183 -70.165840148926|-19.139379501343 -70.166481018066|-19.140918731689 -70.170921325684|-19.141567230225 -70.172470092773|-19.141933441162 -70.173881530762|-19.142318725586 -70.175407409668|-19.14203453064 -70.177833557129|-19.142906188965 -70.179718017578|-19.144163131714 -70.181289672852|-19.145084381104 -70.18196105957|-19.146677017212 -70.183082580566|-19.147760391235 -70.184043884277|-19.149534225464 -70.185791015625|-19.151550292969 -70.187133789062|-19.155666351318 -70.188484191895|-19.156497955322 -70.188133239746|-19.15682220459 -70.187614440918|-19.157703399658 -70.185417175293|-19.159538269043 -70.18140411377|-19.160055160522 -70.180625915527|-19.159780502319 -70.181823730469|-19.15896987915 -70.183860778809|-19.15807723999 -70.185577392578|-19.157339096069 -70.187393188477|-19.156953811646 -70.188507080078|-19.156467437744 -70.188720703125|-19.155017852783 -70.189376831055|-19.153568267822 -70.188346862793|-19.150730133057 -70.187324523926|-19.149705886841 -70.186515808105|-19.146646499634 -70.183563232422|-19.145925521851 -70.183258056641|-19.144283294678 -70.182273864746|-19.14266204834 -70.180473327637|-19.14136505127 -70.177749633789|-19.141466140747 -70.175491333008|-19.141101837158 -70.17308807373|-19.13881111145 -70.167083740234|-19.137371063232 -70.166351318359|-19.135831832886 -70.166328430176|-19.134046554565 -70.165603637695|-19.131290435791 -70.161827087402|-19.131128311157 -70.159378051758|-19.129749298096 -70.157188415527|-19.128593444824 -70.153953552246|-19.12583732605 -70.151908874512|-19.124134063721 -70.149574279785|-19.120586395264 -70.14656829834|-19.119348526001 -70.144485473633|-19.11653137207 -70.142234802246|-19.111299514771 -70.139060974121|-19.108400344849 -70.136077880859|-19.106779098511 -70.134056091309|-19.106008529663 -70.131355285645|-19.104873657227 -70.129402160645|-19.101932525635 -70.126953125|-19.098932266235 -70.12255859375|-19.097370147705 -70.119918823242|-19.096357345581 -70.116165161133|-19.092950820923 -70.111892700195|-19.0908203125 -70.107025146484|-19.088914871216 -70.105560302734|-19.087495803833 -70.10425567627|-19.085649490356 -70.101768493652|-19.084352493286 -70.095970153809|-19.084007263184 -70.092880249023|-19.082365036011 -70.086982727051|-19.082162857056 -70.084510803223|-19.080741882324 -70.081832885742|-19.078958511353 -70.079086303711|-19.066385269165 -70.07251739502|-19.06202507019 -70.068702697754|-19.058860778809 -70.062774658203|-19.057723999023 -70.059280395508|-19.054702758789 -70.055526733398|-19.052978515625 -70.052368164062|-19.051761627197 -70.05037689209|-19.050584793091 -70.045738220215|-19.049489974976 -70.043037414551|-19.048366546631 -70.041168212891|-19.050443649292 -70.042175292969
Cuesta Chaca Arica;#ff4500;-18.765018463135 -70.254814147949|-18.764865875244 -70.256622314453|-18.763830184937 -70.258140563965|-18.762144088745 -70.258628845215|-18.759511947632 -70.258666992188|-18.756322860718 -70.258804321289|-18.749057769775 -70.259147644043|-18.749210357666 -70.258628845215|-18.762102127075 -70.258178710938|-18.7633934021 -70.257850646973|-18.764093399048 -70.257019042969|-18.764499664307 -70.25602722168|-18.764804840088 -70.253715515137|-18.765607833862 -70.250885009766|-18.765607833862 -70.248718261719|-18.765699386597 -70.245941162109|-18.767009735107 -70.24146270752|-18.766984939575 -70.239418029785|-18.767162322998 -70.237083435059|-18.766897201538 -70.234954833984|-18.766807556152 -70.233955383301|-18.766664505005 -70.232627868652|-18.766954421997 -70.230331420898|-18.767244338989 -70.228256225586|-18.766563415527 -70.224838256836|-18.766405105591 -70.224166870117|-18.766307830811 -70.223068237305|-18.766551971436 -70.222328186035|-18.766796112061 -70.221458435059|-18.767395019531 -70.219635009766|-18.767669677734 -70.218360900879|-18.767873764038 -70.217163085938|-18.768081665039 -70.21607208252|-18.768472671509 -70.21509552002|-18.769031524658 -70.214263916016|-18.770210266113 -70.212463378906|-18.771148681641 -70.21085357666|-18.771701812744 -70.209480285645|-18.772714614868 -70.207878112793|-18.774169921875 -70.206481933594|-18.775693893433 -70.20565032959|-18.776973724365 -70.20491027832|-18.777757644653 -70.204399108887|-18.778259277344 -70.203804016113|-18.779453277588 -70.201812744141|-18.780494689941 -70.200042724609|-18.780906677246 -70.199249267578|-18.780996322632 -70.197639465332|-18.780986785889 -70.196235656738|-18.781074523926 -70.194023132324|-18.780992507935 -70.192306518555|-18.780941009521 -70.190361022949|-18.781053543091 -70.188934326172|-18.781465530396 -70.18733215332|-18.781875610352 -70.18643951416|-18.782094955444 -70.185913085938|-18.782638549805 -70.184928894043|-18.783861160278 -70.183174133301|-18.784282684326 -70.182655334473|-18.785106658936 -70.181869506836|-18.785974502563 -70.181167602539|-18.786766052246 -70.180503845215|-18.787914276123 -70.179550170898|-18.788661956787 -70.179016113281|-18.789752960205 -70.178092956543|-18.79029083252 -70.177764892578|-18.791093826294 -70.177391052246|-18.793237686157 -70.176467895508|-18.794080734253 -70.175987243652|-18.795761108398 -70.175254821777|-18.796411514282 -70.174957275391|-18.797395706177 -70.174491882324|-18.797716140747 -70.174499511719|-18.79711151123 -70.174789428711|-18.796262741089 -70.175224304199|-18.795660018921 -70.175506591797|-18.791402816772 -70.177543640137|-18.790367126465 -70.178085327148|-18.78977394104 -70.178436279297|-18.788873672485 -70.17919921875|-18.787822723389 -70.18000793457|-18.786964416504 -70.180679321289|-18.786106109619 -70.18138885498|-18.785232543945 -70.182113647461|-18.784597396851 -70.182632446289|-18.78394317627 -70.183494567871|-18.783227920532 -70.184509277344|-18.782968521118 -70.184852600098|-18.782669067383 -70.185340881348|-18.782413482666 -70.18578338623|-18.781707763672 -70.187339782715|-18.781312942505 -70.188903808594|-18.781225204468 -70.190048217773|-18.78119468689 -70.191535949707|-18.781276702881 -70.193908691406|-18.781282424927 -70.195213317871|-18.78123664856 -70.19701385498|-18.781139373779 -70.199256896973|-18.779970169067 -70.201477050781|-18.779239654541 -70.202980041504|-18.7783203125 -70.204208374023|-18.777751922607 -70.204750061035|-18.776462554932 -70.205619812012|-18.775339126587 -70.206153869629|-18.774196624756 -70.206840515137|-18.773775100708 -70.207191467285|-18.772510528564 -70.208633422852|-18.771976470947 -70.209533691406|-18.77158164978 -70.21053314209|-18.769428253174 -70.214302062988|-18.768564224243 -70.215354919434|-18.767974853516 -70.217788696289|-18.767736434937 -70.219581604004|-18.766847610474 -70.222152709961|-18.76664352417 -70.222717285156|-18.766557693481 -70.223556518555|-18.766807556152 -70.224647521973|-18.767101287842 -70.226104736328|-18.767501831055 -70.228187561035|-18.767379760742 -70.229530334473|-18.767116546631 -70.23104095459|-18.767009735107 -70.232612609863|-18.767004013062 -70.234069824219|-18.767091751099 -70.234687805176|-18.767274856567 -70.235862731934|-18.767421722412 -70.237457275391|-18.767293930054 -70.239044189453|-18.767263412476 -70.240020751953|-18.76735496521 -70.241485595703|-18.766124725342 -70.245803833008|-18.766124725342 -70.246650695801|-18.766002655029 -70.248008728027|-18.766023635864 -70.25129699707|-18.765272140503 -70.253608703613|-18.765018463135 -70.254814147949
CODELCO CAREN area descarga;#add8e6;-34.092910766602 -71.190048217773|-34.09228515625 -71.188941955566|-34.093330383301 -71.188064575195|-34.094020843506 -71.189117431641|-34.092910766602 -71.190048217773
CODELCO CAREN control acceso;#ffa500;-34.07946395874 -71.193542480469|-34.079681396484 -71.193717956543|-34.079803466797 -71.193473815918|-34.079639434814 -71.193290710449|-34.07946395874 -71.193542480469
TRESMONTES;#008000;-33.331161499023 -71.388450622559|-33.333385467529 -71.389694213867|-33.333045959473 -71.394638061523|-33.332481384277 -71.394721984863|-33.329360961914 -71.392356872559|-33.331161499023 -71.388450622559
CODELCO VENTANAS planta acidos;#008000;-32.762741088867 -71.479919433594|-32.762649536133 -71.481414794922|-32.761402130127 -71.48072052002|-32.762126922607 -71.479209899902|-32.762741088867 -71.479919433594
MINERA CASERONES;#008000;-28.180347442627 -69.530731201172|-28.180536270142 -69.544120788574|-28.188442230225 -69.54337310791|-28.188329696655 -69.534080505371|-28.180347442627 -69.530731201172
EX- Maco Placilla;#0000ff;-33.119068145752 -71.557922363281|-33.119041442871 -71.558929443359|-33.117500305176 -71.558776855469|-33.117610931396 -71.557815551758|-33.119068145752 -71.557922363281
QUIMETAL Santiago;#008000;-33.531921386719 -70.739967346191|-33.533218383789 -70.737785339355|-33.530292510986 -70.735313415527|-33.529762268066 -70.736480712891|-33.529121398926 -70.737548828125|-33.531921386719 -70.739967346191
Descanso Las Chilcas;#800080;-32.980224609375 -70.845672607422|-32.978908538818 -70.844505310059|-32.978618621826 -70.845039367676|-32.979869842529 -70.846282958984|-32.980224609375 -70.845672607422
DESCANSO Angostura;#800080;-33.893600463867 -70.734405517578|-33.89368057251 -70.733612060547|-33.894638061523 -70.733406066895|-33.89493560791 -70.734062194824|-33.894542694092 -70.734252929688|-33.893600463867 -70.734405517578
MINERA SIERRA GORDA -Planta Reactivos;#008000;-22.872596740723 -69.359184265137|-22.87170791626 -69.355110168457|-22.875009536743 -69.354034423828|-22.87611579895 -69.358306884766|-22.872596740723 -69.359184265137
MINERA SIERRA GORDA-control de ingreso;#008000;-22.919761657715 -69.352081298828|-22.920024871826 -69.354850769043|-22.915775299072 -69.355224609375|-22.915557861328 -69.352973937988|-22.919761657715 -69.352081298828
ARCOR Planta 2- Bagley - Las Encinas;#ff4500;-33.490119934082 -70.706535339355|-33.48986298778 -70.706995487213|-33.488225548357 -70.705729484558|-33.488489509264 -70.705252051353|-33.490119934082 -70.706535339355
Playa estacionamiento, Huentelauquén, Km 266, lado oriente;#800080;-31.560804367065 -71.53889465332|-31.561901092529 -71.538703918457|-31.562356948853 -71.540199279785|-31.561025619507 -71.540672302246|-31.560804367065 -71.53889465332
Descanso SHELL El Melón;#800080;-32.707691192627 -71.205680847168|-32.707656860352 -71.20450592041|-32.708599090576 -71.204574584961|-32.708835601807 -71.205535888672|-32.707691192627 -71.205680847168
Restauran Panamericana;#800080;-30.700569152832 -71.503692626953|-30.700429916382 -71.503570556641|-30.700099945068 -71.50414276123|-30.700220108032 -71.50422668457|-30.700569152832 -71.503692626953
CODELCO DET - Planta ACM -SEWELL;#008000;-34.087142944336 -70.387451171875|-34.087562561035 -70.386756896973|-34.088256835938 -70.387756347656|-34.087940216064 -70.38850402832|-34.087142944336 -70.387451171875
